,terms
10192,arthropathies elbow
10193,driver dirt bike motor/cross bike injured nontraffic accident sequela
10194,osteonecrosis diseases thigh
10195,inhalant unspecified intoxication delirium
10196,fracture occiput fracture
10197,gastric contents trachea causing injury
10198,osteonecrosis trauma unspecified shoulder
10199,spontaneous rupture tendons forearm
10200,personal pre-term labor
10201,explosive material undetermined intent sequela
10202,scleromalacia perforans unspecified eye
10203,malignant neoplasm lower-outer unspecified breast
10204,disorders cortex inflammatory disorders brain
10205,nondisplaced fracture lateral condyle unspecified femur sequela
10206,exposure prosthetic materials organ tissue
10207,retinal neovascularization unspecified eye
10208,unspecified subluxation unspecified knee
10209,pathological fracture foot fracture nonunion
10210,infection intervertebral disc pyogenic sacral sacrococcygeal region
10211,neonatal hemorrhage unspecified
10212,unspecified acquired deformity forearm
10213,adverse effect primarily respiratory
10214,failure sterile precautions surgical operation
10215,infective myositis unspecified thigh
10216,posterior scleritis unspecified eye
10217,intervertebral disc stenosis neural canal extremity
10218,nondisplaced fracture surgical neck unspecified humerus fracture nonunion
10219,anaphylactic reaction unspecified sequela
10220, pulmonary hypertension
10221,military operations weapons military personnel
10222,allergy status penicillin
10223,superficial foreign body unspecified thumb sequela
10224,unspecified occupant injured collision transport bus nontraffic accident
10225,displaced oblique fracture shaft unspecified radius fracture healing
10226,Left leg pain on bedrest for 2 days
10227,asphyxiation smothering accidental
10228,pathological dislocation hand
10229,osteolysis unspecified ankle foot
10230,personal vulvar dysplasia
10231,nondisplaced fracture tibial spine fracture malunion
10232,combined immunodeficiencies
10233,legal intervention firearm discharge law enforcement official injured
10234,surgical aftercare surgery circulatory
10235,unspecified atherosclerosis bypass grafts extremities unspecified extremity
10236,rheumatoid polyneuropathy rheumatoid arthritis unspecified hand
10237,non-pressure chronic ulcer unspecified foot bone evidence necrosis
10238,smith's fracture radius fracture iiia iiib iiic healing
10239,unspecified effects
10240,carcinoma situ floor mouth
10241,drowning submersion fall off powered watercraft
10242,drowning submersion jumping burning unpowered watercraft sequela
10243,lipoprotein metabolism disorders
10244,deformity bilateral orbits trauma surgery
10245,anetoderma jadassohn-pellizzari
10246,civilian water injured military watercraft sequela
10247,nondisplaced fracture lateral condyle unspecified humerus fracture healing
10248,Pedestrian versus automobile
10249,carrier infectious diseases
10250,diffuse follicle center lymphoma lymph nodes sites
10251,person outside pick-up truck van injured collision railway train railway nontraffic accident
10252,injury heart unspecified hemopericardium sequela
10253,unspecified fracture unspecified tibia fracture iiia iiib iiic nonunion
10254,constriction unspecified elbow sequela
10255,irregular menstruation unspecified
10256,Right IJ line placement
10257,sector arcuate defects eye
10258,infection incisional surgical site sequela
10259,diseases pulp periapical tissues
10260,greenstick fracture shaft humerus arm fracture malunion
10261,mucosal cyst postmastoidectomy cavity unspecified ear
10262,pathological fracture neoplastic disease unspecified ulna radius fracture nonunion
10263,hemarthrosis unspecified elbow
10264,displaced fracture tibial spine fracture iiia iiib iiic malunion
10265,displaced segmental fracture shaft ulna unspecified arm fracture malunion
10266,swan-neck deformity unspecified fingers
10267,traumatic rupture symphysis pubis
10268,driver three-wheeled injured collision pedestrian nontraffic accident
10269,fracture medial orbital unspecified fracture healing
10270,periprosthetic fracture internal prosthetic elbow joint sequela
10271,road place occurrence
10272,osteonecrosis unspecified carpus
10273,health foundling
10274,hypertrophy adenoids
10275,Mitral regurgitations
10276,nondisplaced transverse fracture shaft humerus arm sequela
10277,unspecified superficial injury leg
10278,personal malignant neoplasm endocrine glands
10279,unspecified wound gland sequela
10280,sprain ligament unspecified ankle sequela
10281,displaced unspecified fracture unspecified toe fracture malunion
10282,atherosclerosis artery bypass grafts unstable angina pectoris
10283,spastic entropion eyelid
10284,abuse stimulant-induced sexual dysfunction
10285,macrocephaly
10286,accidental malfunction paintball gun sequela
10287,pathological fracture disease unspecified hand sequela
10288,cerebral edema
10289,laceration ureter sequela
10290,diseases pulmonary vessels
10291,nondisplaced comminuted fracture shaft ulna arm sequela
10292,unspecified wound ear
10293,disorder ear unspecified unspecified ear
10294,shock spontaneous abortion
10295,laceration gallbladder
10296,specified prophylactic measures
10297,unspecified injury thoracic aorta sequela
10298, hydrothorax
10299,familial chondrocalcinosis unspecified hand
10300,non-pressure chronic ulcer unspecified thigh unspecified severity
10301,displaced comminuted fracture shaft radius unspecified arm fracture nonunion
10302,somnolence
10303,nondisplaced fracture humerus fracture
10304,acute pulmonary insufficiency nonthoracic surgery
10305,diabetes mellitus underlying diabetic neuropathy unspecified
10306,strain fascia tendon abdomen
10307,osteoporosis pathological fracture leg sequela
10308,lens-induced iridocyclitis eye
10309,disorders diseases unspecified thigh
10310,carbuncle foot
10311,gestational diabetes mellitus pregnancy
10312,obesity pregnancy unspecified trimester
10313,acute meningococcemia
10314,infective bursitis unspecified ankle foot
10315,unspecified pedal cyclist injured collision vehicles traffic accident
10316,cataract status eye
10317,abrasion unspecified front thorax sequela
10318,prosthetic implants materials cardiovascular devices adverse incidents
10319,dislocation metatarsophalangeal joint unspecified toes sequela
10320,atherosclerosis unspecified bypass grafts extremities gangrene extremity
10321,bite unspecified toes damage nail sequela
10322,disorders iris ciliary body diseases
10323,driver injured collision pedal cycle nontraffic accident
10324,anterior fascicular block
10325,benign neoplasm unspecified testis
10326,disorders continuity bone unspecified pelvic region thigh
10327,specified dorsopathies occipito-atlanto-axial region
10328,driver three-wheeled injured collision pick-up truck van nontraffic accident
10329,hypotension
10330,burn degree buttock sequela
10331,chronic rheumatic pericarditis
10332,driver transport injured collision pedal cycle traffic accident sequela
10333,tributary branch retinal vein occlusion unspecified eye stable
10334, pacer wire
10335,traumatic transmetacarpal amputation unspecified hand
10336,jaw pain
10337,fracture medial orbital fracture healing
10338, increased white count
10339,sexual abuse confirmed sequela
10340,specified injury unspecified blood vessel wrist hand unspecified arm sequela
10341,striking against stationary object sequela
10342,diplacusis unspecified ear
10343,pedal cycle passenger injured collision pedal cycle traffic accident sequela
10344,chondromalacia wrist
10345,person injured collision between pick-up truck van traffic
10346,caught crushed jammed pinched between moving objects sequela
10347,teacher instructor perpetrator maltreatment neglect
10348,pseudohypoparathyroidism
10349, subarachnoid hemorrhage intubated rule out
10350,puncture wound foreign body thumb damage nail sequela
10351,obstructed labor maternal pelvic abnormalities
10352,drowning submersion thrown overboard motion sailboat
10353,blister nonthermal back thorax sequela
10354,abnormal neonatal
10355,shotgun discharge undetermined intent sequela
10356,wasting atrophy ankle foot
10357,laceration foreign body unspecified wrist
10358,unspecified inflammatory spondylopathy occipito-atlanto-axial region
10359,hemarthrosis elbow
10360,induced diabetes mellitus diabetic macular edema resolved bilateral
10361,unspecified complication foreign body accidentally body unspecified sequela
10362,cerebral infarction unspecified occlusion stenosis middle cerebral artery
10363,medicaments intentional self-harm
10364,war operations indirect blast effect nuclear weapon civilian sequela
10365,nondisplaced fracture posterior column ilioischial acetabulum fracture healing
10366,fracture unspecified metatarsal bones unspecified foot fracture malunion
10367,neoplasm uncertain behavior spinal cord
10368,reduction defects limb
10369,age-related osteoporosis pathological fracture forearm sequela
10370,unspecified dislocation index finger sequela
10371,atypical femoral fracture unspecified leg fracture
10372,nondisplaced dome fracture unspecified acetabulum fracture nonunion
10373,person boarding alighting injured collision fixed stationary object sequela
10374,displacement urinary devices implants
10375,nondisplaced comminuted fracture shaft unspecified femur fracture
10376,acquired absence knee
10377,contusion gallbladder
10378,psychomotor deficit
10379,A 48yearold female status post liver transplant
10380,wasting atrophy thigh
10381,nondisplaced longitudinal fracture patella fracture healing
10382,displaced fracture medial condyle unspecified tibia fracture nonunion
10383,assault drowning submersion unspecified sequela
10384,concentration deficit nontraumatic subarachnoid hemorrhage
10385,minor laceration pulmonary blood vessels
10386,myeloma relapse
10387,congenital metatarsus adductus unspecified foot
10388,perforation foreign body accidentally body infusion transfusion
10389,Abdominal pain
10390,fever
10391,Altered mental status lactic acidosis
10392,drowning submersion powered watercraft sinking sequela
10393,displaced comminuted fracture shaft tibia fracture iiia iiib iiic nonunion
